franchise,name,role,alloc_mpg,a,expected_team_game_minutes,expected_gp,gp_lo,gp_hi,high_uncertainty,pid,key
IND,T.J. McConnell,rotation,16.8,0.8120198922570122,13.641934189917805,57.0,42.0,70.0,True,204456.0,204456
IND,Ben Sheppard,deep,23.5,0.35,8.225,60.0,46.0,74.0,True,1641767.0,1641767
IND,Ethan Thompson,deep,22.7,0.27999999999999997,6.355999999999999,43.0,27.0,60.0,True,1630679.0,1630679
IND,Johnny Furphy,deep,20.4,0.22400000000000003,4.5696,39.0,22.0,56.0,True,1642277.0,1642277
IND,Quenton Jackson,deep,20.4,0.17920000000000003,3.6556800000000003,30.0,15.0,45.0,True,1631245.0,1631245
IND,Kobe Brown,deep,18.1,0.14336000000000002,2.5948160000000007,23.0,10.0,37.0,True,1641738.0,1641738
IND,Taelon Peter,deep,15.4,0.11468800000000003,1.7661952000000005,17.0,7.0,29.0,True,1643007.0,1643007
IND,Larry Nance Jr.,deep,13.7,0.09175040000000002,1.2569804800000002,16.0,7.0,28.0,True,1626204.0,1626204
IND,Braden Smith,deep,13.1,0.08,1.048,15.0,6.0,28.0,True,,name::IND::braden smith
LAC,Keaton Wagler,starter,34.7,0.85,29.495,68.0,58.0,76.0,True,,name::LAC::keaton wagler
LAC,Darius Garland,starter,36.1,0.7330391920745082,26.462714833889745,60.0,47.0,72.0,True,1629636.0,1629636
LAC,Brandon Ingram,starter,38.5,0.6812567629099308,26.228385372032335,64.0,52.0,74.0,True,1627742.0,1627742
LAC,Rui Hachimura,rotation,33.5,0.7657227466591565,25.65171201308174,62.0,47.0,74.0,True,1629060.0,1629060
LAC,Derrick Jones Jr.,starter,33.2,0.7609212975758702,25.262587079518894,63.0,51.0,74.0,True,1627884.0,1627884
LAC,Kris Dunn,rotation,31.3,0.731898351962401,22.908418416423153,68.0,57.0,77.0,True,1627739.0,1627739
LAC,Brook Lopez,starter,24.0,0.8855397317746201,21.252953562590882,68.0,58.0,77.0,True,201572.0,201572
LAC,Gradey Dick,rotation,19.5,0.7974161933400155,15.549615770130302,61.0,47.0,73.0,True,1641711.0,1641711
LAC,Jordan Miller,rotation,27.7,0.5001670564650852,13.85462746408286,61.0,48.0,72.0,True,1641757.0,1641757
LAC,Isaiah Jackson,rotation,21.4,0.5118366695368659,10.953304728088929,60.0,46.0,72.0,True,1630543.0,1630543
LAC,Kobe Sanders,deep,26.2,0.35,9.17,66.0,53.0,76.0,True,1642920.0,1642920
LAC,Yanic Konan Niederhäuser,deep,15.5,0.27999999999999997,4.34,50.0,33.0,67.0,True,1642949.0,1642949
LAC,Baba Miller,deep,15.1,0.22400000000000003,3.3824000000000005,34.0,17.0,50.0,True,,name::LAC::baba miller
LAC,Nick Martinelli,deep,15.1,0.17920000000000003,2.7059200000000003,27.0,13.0,42.0,True,,name::LAC::nick martinelli
LAC,Cam Christie,deep,13.9,0.14336000000000002,1.9927040000000003,22.0,10.0,37.0,True,1642353.0,1642353
LAC,Sean Pedulla,deep,9.6,0.08536585365853659,0.8195121951219513,16.0,6.0,28.0,False,1642951.0,1642951
LAL,Austin Reaves,starter,37.9,0.7926510548641964,30.041474979353044,62.0,51.0,74.0,True,1630559.0,1630559
LAL,Luka Dončić,starter,38.5,0.7739794914965631,29.79821042261768,62.0,50.0,73.0,True,1629029.0,1629029
LAL,Quentin Grimes,starter,33.4,0.825313530424259,27.56547191617025,68.0,58.0,77.0,True,1629656.0,1629656
LAL,Jake LaRavia,starter,29.3,0.7575852406767257,22.197247551828063,70.0,60.0,78.0,True,1631222.0,1631222
LAL,Collin Sexton,rotation,27.9,0.7637894961396604,21.309726942296525,63.0,49.0,74.0,True,1629012.0,1629012
LAL,Sandro Mamukelashvili,rotation,25.6,0.7447116065405364,19.06461712743773,72.0,61.0,80.0,True,1630572.0,1630572
LAL,Ziaire Williams,rotation,27.4,0.6730134497713662,18.440568523735433,59.0,44.0,72.0,True,1630533.0,1630533
LAL,Cameron Carr,rotation,24.0,0.72,17.28,62.0,49.0,74.0,True,,name::LAL::cameron carr
LAL,Walker Kessler,starter,34.5,0.49272529440651686,16.99902265702483,60.0,47.0,72.0,True,1631117.0,1631117
LAL,Jarred Vanderbilt,rotation,21.7,0.6389957785534183,13.866208394609176,60.0,46.0,73.0,True,1629020.0,1629020
LAL,Jaden Hardy,deep,20.0,0.35,7.0,61.0,48.0,74.0,True,1630702.0,1630702
LAL,Kevon Looney,deep,18.2,0.27999999999999997,5.095999999999999,56.0,41.0,71.0,True,1626172.0,1626172
LAL,Dalton Knecht,deep,15.2,0.22400000000000003,3.4048000000000003,43.0,26.0,60.0,True,1642261.0,1642261
LAL,AK Okereke,deep,14.2,0.17920000000000003,2.5446400000000002,27.0,13.0,42.0,True,,name::LAL::ak okereke
LAL,Peter Suder,deep,14.2,0.14336000000000002,2.035712,22.0,10.0,35.0,True,,name::LAL::peter suder
LAL,Bronny James,deep,13.5,0.11468800000000003,1.5482880000000003,18.0,8.0,31.0,True,1642355.0,1642355
LAL,Chris Mañon,deep,10.6,0.09175040000000002,0.9725542400000002,16.0,7.0,28.0,False,1643024.0,1643024
LAL,Adou Thiero,deep,10.2,0.08,0.816,16.0,6.0,28.0,False,1642876.0,1642876
MEM,Cameron Boozer,starter,34.7,0.85,29.495,68.0,58.0,77.0,True,,name::MEM::cameron boozer
MEM,Jaylen Wells,starter,32.4,0.8916786226685796,28.890387374461977,68.0,58.0,76.0,True,1642377.0,1642377
MEM,Jerami Grant,rotation,34.6,0.6955197284072528,24.06498260289095,56.0,40.0,71.0,True,203924.0,203924
MEM,Cedric Coward,starter,31.4,0.7560975609756098,23.741463414634147,62.0,51.0,73.0,True,1642907.0,1642907
MEM,Isaiah Stewart,rotation,29.7,0.7370664356392537,21.890873138485833,60.0,45.0,73.0,True,1630191.0,1630191
